	Course	Gender	Age	Year	Reasons
0	1.0	1.0	25.0	5.0	5.0
1	1.0	2.0	24.0	5.0	5.0
2	1.0	1.0	28.0	5.0	5.0
3	1.0	2.0	22.0	5.0	5.0
4	1.0	2.0	22.0	5.0	5.0
5	1.0	1.0	28.0	5.0	5.0
6	1.0	2.0	23.0	5.0	5.0
7	1.0	1.0	24.0	5.0	5.0
8	1.0	1.0	27.0	5.0	5.0
9	1.0	2.0	25.0	5.0	5.0
10	1.0	1.0	26.0	5.0	5.0
11	1.0	1.0	27.0	5.0	5.0
12	1.0	2.0	24.0	5.0	5.0
13	1.0	2.0	23.0	5.0	5.0
14	1.0	2.0	23.0	5.0	5.0
15	1.0	1.0	25.0	5.0	5.0
16	1.0	1.0	27.0	5.0	5.0
17	1.0	2.0	21.0	5.0	5.0
18	1.0	1.0	28.0	5.0	5.0
19	1.0	2.0	24.0	5.0	5.0
20	1.0	2.0	24.0	5.0	5.0
21	1.0	1.0	25.0	5.0	5.0
22	1.0	1.0	25.0	5.0	5.0
23	1.0	2.0	23.0	5.0	5.0
24	1.0	2.0	23.0	5.0	5.0
25	1.0	2.0	23.0	5.0	5.0
26	1.0	1.0	25.0	5.0	5.0
27	1.0	2.0	22.0	5.0	5.0
28	1.0	1.0	26.0	5.0	5.0
29	1.0	2.0	24.0	5.0	5.0
30	1.0	1.0	26.0	5.0	5.0
31	1.0	2.0	24.0	5.0	5.0
32	1.0	1.0	25.0	5.0	5.0
33	1.0	2.0	24.0	5.0	5.0
34	1.0	1.0	25.0	5.0	5.0
35	1.0	2.0	24.0	5.0	5.0
36	1.0	1.0	26.0	5.0	5.0
37	1.0	2.0	22.0	4.0	2.0
38	1.0	1.0	27.0	4.0	3.0
39	1.0	2.0	22.0	3.0	2.0
40	1.0	2.0	23.0	3.0	2.0
41	1.0	1.0	24.0	2.0	3.0
42	1.0	2.0	20.0	2.0	4.0
43	1.0	1.0	18.0	4.0	3.0
44	2.0	1.0	23.0	5.0	5.0
45	2.0	1.0	25.0	5.0	5.0
46	2.0	1.0	28.0	5.0	5.0
47	2.0	2.0	23.0	5.0	5.0
48	2.0	1.0	26.0	5.0	5.0
49	2.0	1.0	25.0	5.0	5.0
50	2.0	1.0	27.0	5.0	5.0
51	2.0	1.0	22.0	5.0	5.0
52	2.0	1.0	22.0	5.0	5.0
53	2.0	1.0	25.0	5.0	5.0
54	2.0	1.0	26.0	5.0	5.0
55	2.0	2.0	24.0	5.0	5.0
56	2.0	1.0	23.0	5.0	5.0
57	2.0	1.0	24.0	5.0	5.0
58	2.0	1.0	25.0	5.0	5.0
59	2.0	1.0	24.0	5.0	5.0
60	2.0	2.0	24.0	5.0	5.0
61	2.0	1.0	25.0	5.0	5.0
62	2.0	1.0	26.0	5.0	5.0
63	2.0	1.0	22.0	5.0	5.0
64	2.0	1.0	27.0	5.0	5.0
65	2.0	1.0	26.0	5.0	5.0
66	2.0	1.0	25.0	5.0	5.0
67	2.0	1.0	25.0	5.0	5.0
68	2.0	2.0	22.0	5.0	5.0
69	2.0	1.0	23.0	5.0	5.0
70	2.0	2.0	23.0	5.0	5.0
71	2.0	1.0	23.0	5.0	5.0
72	2.0	1.0	25.0	5.0	5.0
73	2.0	1.0	25.0	5.0	5.0
74	2.0	1.0	26.0	5.0	5.0
75	2.0	1.0	26.0	5.0	5.0
76	2.0	1.0	27.0	5.0	5.0
77	2.0	1.0	26.0	5.0	5.0
78	2.0	1.0	24.0	5.0	5.0
79	2.0	1.0	25.0	5.0	5.0
80	2.0	2.0	22.0	5.0	5.0
81	2.0	1.0	24.0	5.0	5.0
82	2.0	1.0	25.0	5.0	5.0
83	2.0	2.0	18.0	1.0	1.0
84	2.0	1.0	23.0	3.0	2.0
85	2.0	1.0	26.0	2.0	3.0
86	2.0	1.0	22.0	3.0	4.0
87	2.0	1.0	26.0	2.0	2.0
88	2.0	1.0	26.0	3.0	1.0
89	2.0	1.0	21.0	2.0	4.0
90	2.0	1.0	23.0	3.0	4.0
91	2.0	1.0	24.0	3.0	2.0
92	2.0	2.0	24.0	2.0	2.0
93	2.0	1.0	18.0	2.0	2.0
94	2.0	1.0	22.0	4.0	2.0
95	2.0	1.0	28.0	3.0	3.0
96	2.0	1.0	23.0	3.0	1.0
97	2.0	1.0	26.0	2.0	2.0
98	2.0	1.0	20.0	3.0	3.0
99	2.0	1.0	19.0	2.0	1.0
100	2.0	1.0	24.0	3.0	4.0
101	3.0	2.0	23.0	5.0	5.0
102	3.0	1.0	25.0	5.0	5.0
103	3.0	2.0	24.0	5.0	5.0
104	3.0	2.0	24.0	5.0	5.0
105	3.0	1.0	28.0	5.0	5.0
106	3.0	1.0	22.0	5.0	5.0
107	3.0	1.0	25.0	5.0	5.0
108	3.0	1.0	22.0	5.0	5.0
109	3.0	1.0	23.0	5.0	5.0
110	3.0	1.0	24.0	5.0	5.0
111	3.0	1.0	27.0	5.0	5.0
112	3.0	1.0	25.0	5.0	5.0
113	3.0	2.0	25.0	5.0	5.0
114	3.0	1.0	24.0	5.0	5.0
115	3.0	1.0	28.0	5.0	5.0
116	3.0	1.0	25.0	5.0	5.0
117	3.0	1.0	23.0	5.0	5.0
118	3.0	1.0	22.0	5.0	5.0
